FECHA,HORA,Unnamed: 2,Unnamed: 3,HORA (HHMM),Unnamed: 2,Unnamed: 3,HORA (HHMM),Registros validados,Registros preliminares,Registros no validados
180914,,,,0.0,"7,68864",,0.0,19.0,,
180915,,,,0.0,"7,16319",,0.0,26.0,,
180916,,,,0.0,"6,32693",,0.0,37.0,,
180917,,,,0.0,"6,6963",,0.0,27.0,,
180918,,,,0.0,"4,11275",,0.0,31.0,,
180919,,,,0.0,"5,37489",,0.0,33.0,,
180920,,,,0.0,"3,80509",,0.0,43.0,,
180921,,,,0.0,"3,3728",,0.0,30.0,,
180922,,,,0.0,"3,10115",,0.0,35.0,,
180923,,,,0.0,"4,86794",,0.0,26.0,,
180924,,,,0.0,"3,35801",,0.0,55.0,,
180925,,,,0.0,"2,41559",,0.0,55.0,,
180926,,,,0.0,"1,31231",,0.0,35.0,,
180927,,,,0.0,"6,42242",,0.0,57.0,,
180928,,,,0.0,"6,39249",,0.0,35.0,,
180929,,,,0.0,"6,50098",,0.0,43.0,,
180930,,,,0.0,"-1,44476",,0.0,33.0,,
181001,,,,0.0,"1,45105",,0.0,25.0,,
181002,,,,0.0,"2,58901",,0.0,21.0,,
181003,,,,0.0,"4,369",,0.0,37.0,,
181004,,,,0.0,"4,40739",,0.0,23.0,,
181005,,,,0.0,"3,89809",,0.0,60.0,,
181006,,,,0.0,"7,09267",,0.0,25.0,,
181007,,,,0.0,"6,70799",,0.0,29.0,,
181008,,,,0.0,"4,89381",,0.0,27.0,,
181009,,,,0.0,"2,04453",,0.0,28.0,,
181010,,,,0.0,"3,73592",,0.0,26.0,,
181011,,,,0.0,"3,57119",,0.0,23.0,,
181012,,,,0.0,"4,61374",,0.0,17.0,,
181013,,,,0.0,"6,30034",,0.0,11.0,,
181014,,,,0.0,"8,72678",,0.0,13.0,,
181015,,,,0.0,"6,35535",,0.0,20.0,,
181016,,,,0.0,"3,3006",,0.0,86.0,,
181017,,,,0.0,"0,188007",,0.0,53.0,,
181018,,,,0.0,"5,246",,0.0,19.0,,
181019,,,,0.0,"6,55331",,0.0,21.0,,
181020,,,,0.0,"5,60877",,0.0,40.0,,
181021,,,,0.0,"4,79577",,0.0,22.0,,
181022,,,,0.0,"6,36247",,0.0,40.0,,
181023,,,,0.0,"4,35839",,0.0,83.0,,
181024,,,,0.0,"5,0723",,0.0,47.0,,
181025,,,,0.0,"8,28188",,0.0,21.0,,
181026,,,,0.0,"10,3339",,0.0,18.0,,
181027,,,,0.0,"9,87862",,0.0,17.0,,
181028,,,,0.0,"10,1735",,0.0,14.0,,
181029,,,,0.0,"10,8968",,0.0,9.0,,
181030,,,,0.0,"9,01338",,0.0,25.0,,
181031,,,,0.0,"1,66855",,0.0,42.0,,
181101,,,,0.0,"4,90549",,0.0,28.0,,
181102,,,,0.0,"6,21317",,0.0,20.0,,
181103,,,,0.0,"8,57178",,0.0,15.0,,
181104,,,,0.0,"5,75636",,0.0,15.0,,
181105,,,,0.0,"3,68559",,0.0,31.0,,
181106,,,,0.0,"3,5966",,0.0,30.0,,
181107,,,,0.0,"3,1389",,0.0,22.0,,
181108,,,,0.0,"9,49178",,0.0,18.0,,
181109,,,,0.0,"9,2375",,0.0,32.0,,
181110,,,,0.0,"7,4947",,0.0,29.0,,
