FECHA (YYMMDD),HORA (HHMM),Unnamed: 2,Unnamed: 3
211229,0,"14,9867",
211229,100,"14,3458",
211229,200,"13,8408",
211229,300,"13,8417",
211229,400,"14,13",
211229,500,"14,2825",
211229,600,"15,7417",
211229,700,"16,9208",
211229,800,"15,8775",
211229,900,"14,4775",
211229,1000,"12,425",
211229,1100,"12,9008",
211229,1200,"13,0308",
211229,1300,"14,6508",
211229,1400,"15,9267",
211229,1500,"16,055",
211229,1600,"14,7583",
211229,1700,"14,3625",
211229,1800,"13,4583",
211229,1900,"12,105",
211229,2000,"10,3725",
211229,2100,"10,0625",
211229,2200,"10,0067",
211229,2300,"10,2908",
211230,0,"9,86917",
211230,100,"8,54683",
211230,200,"6,98017",
211230,300,"6,56208",
211230,400,"7,12017",
211230,500,"6,90717",
211230,600,"7,83908",
211230,700,"9,22583",
211230,800,"10,7275",
211230,900,"11,1542",
211230,1000,"12,84",
211230,1100,"12,7142",
211230,1200,"12,6042",
211230,1300,"12,7608",
211230,1400,"13,1408",
211230,1500,"12,5542",
211230,1600,"12,6067",
211230,1700,"12,7975",
211230,1800,"11,8117",
211230,1900,"10,425",
211230,2000,"9,69254",
211230,2100,"10,5025",
211230,2200,"10,6542",
211230,2300,"10,4083",
211231,0,"9,76337",
211231,100,"8,76421",
211231,200,"8,41837",
211231,300,"8,53419",
211231,400,"8,57004",
211231,500,"8,50336",
211231,600,"8,40836",
211231,700,"8,74921",
211231,800,"9,86754",
211231,900,"9,41083",
211231,1000,"9,88",
211231,1100,"10,2358",
211231,1200,"10,8983",
211231,1300,"12,0792",
211231,1400,"11,9392",
211231,1500,"11,915",
211231,1600,"10,8767",
211231,1700,"10,2483",
211231,1800,"9,06917",
211231,1900,"8,55896",
211231,2000,"8,32417",
211231,2100,"8,47083",
211231,2200,"8,43916",
211231,2300,"8,58",
220101,0,"8,44417",
220101,100,"8,03267",
220101,200,"8,29343",
220101,300,"7,916",
220101,400,"8,06474",
220101,500,"8,69417",
220101,600,"9,53917",
220101,700,"9,54584",
220101,800,"8,52583",
220101,900,"9,05501",
220101,1000,"10,205",
220101,1100,"10,6925",
220101,1200,"11,6633",
220101,1300,"12,2908",
220101,1400,"13,275",
220101,1500,"12,4317",
220101,1600,"13,0917",
220101,1700,"11,7633",
220101,1800,"10,5475",
220101,1900,"8,90334",
220101,2000,"7,75875",
220101,2100,"6,78258",
220101,2200,"6,054",
220101,2300,"6,42525",
220102,0,"6,41367",
220102,100,"5,918",
220102,200,"5,44667",
220102,300,"5,19175",
220102,400,"4,85625",
220102,500,"4,25292",
220102,600,"3,87575",
220102,700,"4,28792",
220102,800,"6,39925",
220102,900,"7,39892",
220102,1000,"9,41917",
220102,1100,"10,1192",
220102,1200,"10,6067",
220102,1300,"11,2183",
220102,1400,"10,5517",
220102,1500,"9,78",
220102,1600,"8,81917",
220102,1700,"8,8175",
220102,1800,"8,48666",
220102,1900,"8,33167",
220102,2000,"7,41967",
220102,2100,"7,288",
220102,2200,"8,35133",
220102,2300,"7,98",
220103,0,"7,54584",
220103,100,"7,36976",
220103,200,"7,67876",
220103,300,"7,73176",
220103,400,"7,35543",
220103,500,"6,94809",
220103,600,"7,71926",
220103,700,"9,42085",
220103,800,"11,6392",
220103,900,"12,1517",
220103,1000,"11,6267",
220103,1100,"11,2233",
220103,1200,"11,0642",
220103,1300,"10,8175",
220103,1400,"9,66833",
220103,1500,"9,17583",
220103,1600,"9,17",
220103,1700,"9,19501",
220103,1800,"8,77",
220103,1900,"8,11908",
220103,2000,"7,10283",
220103,2100,"7,15367",
220103,2200,"6,99242",
220103,2300,"7,00258",
220104,0,"7,28958",
220104,100,"7,44267",
220104,200,"7,65983",
220104,300,"7,91067",
220104,400,"7,77275",
220104,500,"7,82067",
220104,600,"8,08157",
220104,700,"8,96167",
220104,800,"10,3958",
220104,900,"11,6233",
220104,1000,"12,5717",
220104,1100,"13,47",
220104,1200,"14,28",
220104,1300,"14,6017",
220104,1400,"14,1092",
220104,1500,"14,5842",
220104,1600,"14,4358",
220104,1700,"13,985",
220104,1800,"13,5117",
220104,1900,"12,8017",
220104,2000,"11,9",
220104,2100,"11,6192",
220104,2200,"11,3767",
220104,2300,"11,1625",
220105,0,"10,8025",
220105,100,"10,6575",
220105,200,"10,46",
220105,300,"8,96921",
220105,400,"8,38837",
220105,500,"8,75253",
220105,600,"9,83003",
220105,700,"12,0808",
220105,800,"13,7683",
220105,900,"15,345",
220105,1000,"17,0783",
220105,1100,"18,5433",
220105,1200,"19,7183",
220105,1300,"20,0275",
220105,1400,"21,0092",
220105,1500,"21,3558",
220105,1600,"20,9292",
220105,1700,"20,8525",
220105,1800,"20,4158",
220105,1900,"19,315",
220105,2000,"17,3175",
