FECHA (YYMMDD);HORA (HHMM);;
240524;1700;1,25333;
240524;1800;-0,108083;
240524;1900;-0,204833;
240524;2000;-0,532917;
240524;2100;-1,5815;
240524;2200;-1,55992;
240524;2300;-2,62092;
240525;0000;-3,13133;
240525;0100;-3,93025;
240525;0200;-4,60242;
240525;0300;-4,99625;
240525;0400;-5,61317;
240525;0500;-5,89975;
240525;0600;-6,116;
240525;0700;-6,448;
240525;0800;-5,96925;
240525;0900;-3,60008;
240525;1000;-1,39675;
240525;1100;1,13258;
240525;1200;2,10842;
240525;1300;3,89467;
240525;1400;5,64675;
240525;1500;6,261;
240525;1600;5,76208;
240525;1700;4,30958;
240525;1800;2,51858;
240525;1900;1,51375;
240525;2000;0,527667;
240525;2100;-0,829917;
240525;2200;-1,20717;
240525;2300;-1,81983;
240526;0000;-2,55383;
240526;0100;-3,2425;
240526;0200;-3,68383;
240526;0300;-4,24783;
240526;0400;-4,49025;
240526;0500;-5,06108;
240526;0600;-5,29417;
240526;0700;-5,8315;
240526;0800;-5,75233;
240526;0900;-2,99758;
240526;1000;-1,15892;
240526;1100;1,19758;
240526;1200;3,06325;
240526;1300;3,71267;
240526;1400;4,61625;
240526;1500;5,22542;
240526;1600;4,69658;
240526;1700;2,66442;
240526;1800;0,643334;
240526;1900;-0,663917;
240526;2000;-1,11908;
240526;2100;-1,27708;
240526;2200;-1,51475;
240526;2300;-1,63017;
